,date,capital,strat scalar,BTC-USD units,ETH-USD units,LTC-USD units,XMR-USD units,XRP-USD units,ADA-USD units,DOGE-USD units,SOL-USD units,DOT-USD units,ATOM-USD units,TRX-USD units,AVAX-USD units,LINK-USD units,ETC-USD units,FIL-USD units,BCH-USD units,NEAR-USD units,ALGO-USD units,EOS-USD units,FTM-USD units,XTZ-USD units,NEO-USD units,BTC-USD w,ETH-USD w,LTC-USD w,XMR-USD w,XRP-USD w,ADA-USD w,DOGE-USD w,SOL-USD w,DOT-USD w,ATOM-USD w,TRX-USD w,AVAX-USD w,LINK-USD w,ETC-USD w,FIL-USD w,BCH-USD w,NEAR-USD w,ALGO-USD w,EOS-USD w,FTM-USD w,XTZ-USD w,NEO-USD w,nominal,leverage,daily pnl,nominal ret,capital ret
0,2021-01-22,10000.0,2.0,0.006081111064375826,0.10978883609413617,1.1568921693233196,0.0,0.0,322.33052543009217,7224.552847108779,25.992095654734396,4.642075179555014,14.169827493375092,0.0,7.423121515411141,5.2996472095496125,21.719347644341717,0.0,0.2607379818026015,52.528833604488646,194.1292937967859,0.0,0.0,37.58460425400476,6.557267251050835,0.10437348840377784,0.07059502439146771,0.08258299293023161,0.0,0.0,0.058595167846369305,0.03202372901845959,0.045228737866231876,0.04142699625296749,0.05904911107349358,0.0,0.04909660196109483,0.05960887070247213,0.0839907044384466,0.0,0.05986576921978748,0.06464052959251,0.05158814046910149,0.0,0.0,0.057188488584206935,0.08014564724938153,1923.0142236845832,0.19230142236845832,,,
1,2021-01-23,10047.667947704307,2.0,0.006233888055118265,0.11070550080170691,0.0,0.0,0.0,328.55012084176155,7224.189559277107,25.068598858383673,4.3372397884558875,13.745436842914454,0.0,7.3941867074410395,4.619339022279226,0.0,0.0,0.26815450447875705,53.385421949769125,177.5862380923458,0.0,0.0,36.978047101504146,6.41753206340655,0.12347901884308593,0.08417654070356136,0.0,0.0,0.0,0.0701449727476555,0.03828185132584717,0.05425942371046607,0.04982547867294815,0.0705641867600291,0.0,0.05881388425969046,0.07065200347168177,0.0,0.0,0.07147230590929346,0.07809516790711234,0.061104908451726454,0.0,0.0,0.07242133589474502,0.09670892134215722,1618.9478657715204,0.1611267285302176,47.66794770430757,0.024788140990956182,0.0047667947704307595
2,2021-01-24,10076.693156904383,2.0,0.006297432369357582,0.0952359166757781,0.0,0.0,0.0,325.2632830324244,7120.505152332124,24.69940553320719,4.496650971445698,13.965212760238428,0.0,7.604960830222446,4.69159547033919,0.0,0.0,0.2636525854486864,49.14525389273284,177.5390957971158,0.0,0.0,48.02846430117266,6.4541425656367934,0.12280242114354802,0.08003903393159045,0.0,0.0,0.0,0.06951459786001903,0.03752835356611274,0.05421310433250423,0.04888064662222482,0.06950046891243657,0.0,0.05724470842596077,0.06998966489398849,0.0,0.0,0.07007617967245931,0.07611369037715106,0.06041327248915489,0.0,0.0,0.08829426670724771,0.09538959106560203,1655.8320106162996,0.1643229564335549,29.025209200076123,0.017928439706885794,0.0028887508376217613
3,2021-01-25,10028.390275837168,2.0,0.006251806065432749,0.09859657281820923,0.0,0.0,0.0,0.0,0.0,24.233537665553165,4.940983661090466,15.632984548583309,0.0,7.643088830218691,4.84202370954718,0.0,0.0,0.2676264476274388,52.39088415049742,178.17322023017906,0.0,1564.9053511925094,49.13413417267953,6.677899935662619,0.1295274799366013,0.08358877563300152,0.0,0.0,0.0,0.0,0.0,0.057395577499432936,0.05456022026906966,0.07764276279504374,0.0,0.05980641317149539,0.07296216714850393,0.0,0.0,0.07431614805997731,0.08232515405257945,0.06366943140633254,0.0,0.05239643117994109,0.09202323006619531,0.09978620878182566,1562.2044799693558,0.15577818942023008,-48.30288106721524,-0.02917136566845143,-0.004793525049844244
4,2021-01-26,10069.50989465776,2.0,0.006240215313405771,0.09699801428635105,0.0,0.0,0.0,0.0,0.0,23.11119852637471,5.106767647202632,16.222703481728526,0.0,7.794489848934659,4.943959677978884,0.0,0.0,0.0,54.228862826085546,180.99145116860296,0.0,1018.9120255424396,52.084733391651035,6.731226721992476,0.13831726565880972,0.08958232993740298,0.0,0.0,0.0,0.0,0.0,0.0636581905230805,0.05949139313520234,0.08523167477200869,0.0,0.06457173410979725,0.07747327505772827,0.0,0.0,0.0,0.0877630730848743,0.07410420074837729,0.0,0.05048113977396926,0.10310190833306553,0.10622381486568397,1469.3962703766035,0.14592530180204416,41.119618820592414,0.02632153431117994,0.004100320957758074
5,2021-01-27,9961.517632405375,2.0,0.006770713300203838,0.10136837352057494,0.0,0.0,0.0,0.0,0.0,0.0,5.509774046775294,0.0,0.0,8.295743845073773,5.208083848646265,0.0,0.0,0.0,58.54720297688493,189.54583610689858,0.0,899.121882351666,53.001388841909595,7.018363781464061,0.16972991544403024,0.10464152891044855,0.0,0.0,0.0,0.0,0.0,0.0,0.07036996477268331,0.0,0.0,0.07643092607044409,0.0903935424875436,0.0,0.0,0.0,0.09836776300130991,0.08480512375547364,0.0,0.060974998614968454,0.12243823102455441,0.12184800591854382,1213.9878190983122,0.12186775789555818,-107.99226225238365,-0.0734943081247276,-0.010724679093833301
6,2021-01-28,10086.164946819737,2.0,0.005869798092695875,0.11448270841353289,0.0,0.0,0.0,0.0,473.1766065657212,0.0,5.102097292411073,0.0,0.0,7.8673443675622075,4.838112695739211,0.0,0.0,0.0,52.68515029381895,185.82658030827682,0.0,565.4646774145302,49.39741656375267,6.831561958327346,0.1569984022716594,0.12191904795451367,0.0,0.0,0.0,0.0,0.012889640773748176,0.0,0.06909642633698926,0.0,0.0,0.07545467796800923,0.08936344177204601,0.0,0.0,0.0,0.09512222590550408,0.0833425829678319,0.0,0.053958796988931565,0.11963994858727955,0.1222148084734872,1251.2180592304692,0.12405290472916468,124.64731441436282,0.10267591853346965,0.012512883981540934
7,2021-01-29,10110.634391866202,2.0,0.0057492049167754515,0.11148054975053116,0.0,0.0,0.0,0.0,342.2475605283724,0.0,5.182953806661016,0.0,0.0,8.063088492899046,4.915567900370995,0.0,0.0,0.0,54.74147290150567,155.32206424645582,0.0,525.7472058231302,51.95185912426592,6.768181848288082,0.15752186973314328,0.12305603822458762,0.0,0.0,0.0,0.0,0.012887363918350245,0.0,0.06969353748041988,0.0,0.0,0.07481738192914632,0.08937867549221443,0.0,0.0,0.0,0.09624516620384,0.07948566982639012,0.0,0.0540320137204018,0.12049587620923782,0.12238640726226863,1252.4733205848574,0.12387682830193589,24.46944504646577,0.019556499257623452,0.002426040539241942
8,2021-01-30,10112.509949001049,2.0,0.0,0.11271806630307314,0.0,0.0,0.0,0.0,566.5887559302765,0.0,5.273781012342517,0.0,0.0,7.999208545366962,4.7643102089361316,0.0,0.0,0.0,55.87502971123625,152.504568070883,0.0,513.7491073078094,52.25894446226391,6.7218188601478905,0.0,0.14614669067198482,0.0,0.0,0.0,0.0,0.015041386523300618,0.0,0.08202163272447355,0.0,0.0,0.0903242938846299,0.1059113993958852,0.0,0.0,0.0,0.11436073189641618,0.09537959015361697,0.0,0.06388464729975914,0.14224412367712558,0.14468550377280784,1061.3519542235067,0.10495435451495906,1.8755571348463635,0.0014974827040392003,0.00018550340781338268
9,2021-01-31,10102.190426860572,2.0,0.0,0.1201008828524847,0.0,0.0,0.0,0.0,428.2959900538317,0.0,5.379014274033593,0.0,0.0,7.040391784696244,5.195990417478274,0.0,0.0,0.0,56.423107777439526,156.0536930168057,0.0,544.2390575790808,54.65067079258469,0.0,0.0,0.17201475859736692,0.0,0.0,0.0,0.0,0.017351560983574134,0.0,0.0944498938001005,0.0,0.0,0.10364624006063895,0.127892479790511,0.0,0.0,0.0,0.13179255647129173,0.11069264167664737,0.0,0.07318961632998963,0.16897025228987983,0.0,918.1247328647812,0.09088372858460401,-10.319522140476598,-0.009722997257800733,-0.001020470901143193
10,2021-02-01,10108.438119393913,2.0,0.0,0.11493267072838484,0.0,0.0,0.0,0.0,457.13284290319,0.0,5.330623202625865,0.0,0.0,7.213692692488738,5.221113797584513,0.0,0.0,0.0,53.86951990210186,163.99227478189985,0.0,611.8764827633488,0.0,0.0,0.0,0.2048916315916852,0.0,0.0,0.0,0.0,0.02075970033462623,0.0,0.11366959160864623,0.0,0.0,0.12425351542385833,0.1552804785132291,0.0,0.0,0.0,0.15812928983029878,0.13740459606408892,0.0,0.08561119663356717,0.0,0.0,767.9546642323627,0.07597164420079648,6.247692533341694,0.006804840681992436,0.0006184492936036723
