,date,capital,strat scalar,FR40_EUR units,US30_USD units,UK100_GBP units,CH20_CHF units,CN50_USD units,US2000_USD units,HK33_HKD units,SPX500_USD units,NAS100_USD units,AU200_AUD units,EU50_EUR units,JP225_USD units,SG30_SGD units,DE30_EUR units,NL25_EUR units,USB30Y_USD units,USB05Y_USD units,DE10YB_EUR units,USB10Y_USD units,USB02Y_USD units,UK10YB_GBP units,JP225Y_JPY units,FR40_EUR w,US30_USD w,UK100_GBP w,CH20_CHF w,CN50_USD w,US2000_USD w,HK33_HKD w,SPX500_USD w,NAS100_USD w,AU200_AUD w,EU50_EUR w,JP225_USD w,SG30_SGD w,DE30_EUR w,NL25_EUR w,USB30Y_USD w,USB05Y_USD w,DE10YB_EUR w,USB10Y_USD w,USB02Y_USD w,UK10YB_GBP w,JP225Y_JPY w,nominal,leverage,daily pnl,nominal ret,capital ret
0,2021-01-18,10000.0,2.0,0.0,0.0,0.016600616808210795,0.0,0.02488732622586052,0.21324250470067113,0.10862458253776033,0.0,0.0,0.0,0.0,0.015900695385374346,0.593446822223795,0.0,0.5754604139855576,-0.9036732266357795,0.0,0.0,0.7936087546158336,0.0,0.0,1.652752035885481,0.0,0.0,0.046666666666666676,0.0,0.14,0.14000000000000004,0.12666666666666668,0.0,0.0,0.0,0.0,0.14,0.046666666666666676,0.0,0.14,0.046666666666666676,0.0,0.0,0.03333333333333334,0.0,0.0,0.14000000000000004,3265.9460439580853,0.3265946043958085,,,
1,2021-01-19,10012.24867817667,2.0,0.0,0.0,0.016522335380317332,0.03721061873493063,0.024868403651696458,0.21265968108079128,0.10717874435194995,0.0,0.0,0.0,0.0,0.01595623971219112,0.5906743935787485,0.0,0.5713659761487061,-0.9036602897418058,0.0,0.0,0.794146629596549,0.0,0.0,1.6529244989936334,0.0,0.0,0.04093567251461988,0.12280701754385966,0.12280701754385966,0.12280701754385964,0.11111111111111112,0.0,0.0,0.0,0.0,0.12280701754385963,0.04093567251461988,0.0,0.12280701754385966,0.04093567251461988,0.0,0.0,0.029239766081871343,0.0,0.0,0.12280701754385963,3727.738891624186,0.3723178490112218,12.248678176668827,0.0038660815014875,0.0012626413585402633
2,2021-01-20,10014.3716268638,2.0,0.0,0.0,0.02121746964053312,0.03713977742168651,0.024574514888596227,0.2138565599109745,0.10759292454214436,0.0,0.0,0.0,0.0,0.015975380939521285,0.7554966495046068,0.0,0.5659566390289742,-0.9080137931703015,0.0,0.0,0.7951550588830116,0.0,0.0,1.6540546998810155,0.0,0.0,0.05142857142857143,0.12000000000000002,0.11999999999999998,0.12,0.10857142857142854,0.0,0.0,0.0,0.0,0.12,0.05142857142857143,0.0,0.12000000000000002,0.04,0.0,0.0,0.028571428571428567,0.0,0.0,0.12,3815.746363039558,0.38102703846177666,2.122948687130507,0.00019424175878763537,7.231967381996899e-05
3,2021-01-21,10005.581525292431,2.0,0.0,0.0,0.0,0.037062158316107395,0.0246488535468586,0.21178581769836763,0.10874670839756224,0.0,0.0,0.0,0.0,0.01598785420082702,0.7654340835042481,0.0,0.5676945899598164,-0.904172253120526,0.0,0.0,0.7935715527715995,0.0,0.0,1.660471386356999,0.0,0.0,0.0,0.12650602409638556,0.12650602409638553,0.12650602409638553,0.1144578313253012,0.0,0.0,0.0,0.0,0.12650602409638553,0.05421686746987951,0.0,0.12650602409638553,0.04216867469879517,0.0,0.0,0.03012048192771084,0.0,0.0,0.12650602409638553,3616.3309602698682,0.3614313621980282,-8.790101571368014,-0.0020342625580899395,-0.0007751090379626875
4,2021-01-24,10023.764131736956,2.0,0.0,0.0,0.0,0.03727142871428671,0.02427974419983545,0.21186526582954027,0.1075254049029465,0.0,0.0,0.0,0.0,0.01589762601242529,0.7734224466262543,0.0,0.5702304052566609,-1.156800650594775,0.0,0.0,0.7928187738936179,0.0,0.0,1.6497659009982486,0.0,0.0,0.0,0.12500000000000003,0.12500000000000003,0.12500000000000003,0.11309523809523811,0.0,0.0,0.0,0.0,0.12500000000000003,0.05357142857142859,0.0,0.12500000000000003,0.05357142857142858,0.0,0.0,0.029761904761904767,0.0,0.0,0.12500000000000003,3666.5521549009095,0.36578595692330557,18.18260644452498,0.0055979719234904,0.002023282617853451
5,2021-01-25,10003.68906762423,2.0,0.0,0.0,0.0,0.03700301654892878,0.02446034547589092,0.21405822907521244,0.10823001148825732,0.0,0.0,0.0,0.0,0.015927886697618743,0.7765892567996536,0.0,0.5722278168606023,-1.1550825078802935,0.0,0.0,0.7915242433477991,0.0,0.0,1.6507146709721061,0.0,0.0,0.0,0.125,0.125,0.125,0.1130952380952381,0.0,0.0,0.0,0.0,0.125,0.05357142857142858,0.0,0.125,0.053571428571428575,0.0,0.0,0.02976190476190476,0.0,0.0,0.12499999999999999,3659.2089783641395,0.3657859569233056,-20.07506411272773,-0.005530716643462134,-0.002023058479900449
6,2021-01-26,9950.31212973255,2.0,0.0,0.0,0.0,0.037089202931646456,0.02472517651543009,0.21675564209420037,0.10955768567129175,0.0,0.0,0.0,0.0,0.016130035507146562,0.7795921576592879,0.0,0.5847131842155763,-1.1459347831203222,0.0,0.0,0.0,0.0,0.0,1.6796076478473214,0.0,0.0,0.0,0.12883435582822086,0.12883435582822086,0.12883435582822086,0.11656441717791412,0.0,0.0,0.0,0.0,0.12883435582822086,0.05521472392638036,0.0,0.12883435582822086,0.05521472392638037,0.0,0.0,0.0,0.0,0.0,0.12883435582822086,3531.360502272302,0.35489947011011197,-53.37693789167867,-0.01430796799643796,-0.005233653765205091
7,2021-01-27,9955.587012312268,2.0,0.0,0.0,0.0,0.03728905184614821,0.024893592344592527,0.21727249611540245,0.1102519503313256,0.0,0.0,0.0,0.0,0.01603602244238343,0.7758681400163493,0.0,0.5771748352474932,-1.151360128121167,0.0,0.0,0.0,0.0,0.0,1.6714447669619874,0.0,0.0,0.0,0.12883435582822084,0.12883435582822086,0.12883435582822084,0.1165644171779141,0.0,0.0,0.0,0.0,0.12883435582822084,0.05521472392638037,0.0,0.12883435582822086,0.05521472392638037,0.0,0.0,0.0,0.0,0.0,0.12883435582822086,3533.232555304737,0.354899470110112,5.274882579717907,0.0010316339683276122,0.00036612634870706164
8,2021-01-28,9886.593213447983,2.0,0.0,0.0,0.0,0.038027341964971526,0.024994311617359623,0.2190229300428243,0.11252587634691866,0.0,0.0,0.0,0.0,0.016316975462533207,0.7869611847314032,0.0,0.5854539216433015,-1.146826100372932,0.0,0.0,0.0,0.0,0.0,3.4603396241452824,0.0,0.0,0.0,0.1137889198654878,0.11378891986548778,0.1137889198654878,0.10295187987829847,0.0,0.0,0.0,0.0,0.1137889198654878,0.04876667994235191,0.0,0.1137889198654878,0.04876667994235192,0.0,0.0,0.0,0.0,0.0,0.23057016090955879,3972.681351101147,0.40182510449579434,-68.99379886428426,-0.019858835323297838,-0.007047890133242378
9,2021-01-31,9961.61661576248,2.0,0.0,0.0,0.0,0.0,0.02479476933937977,0.21463857328136784,0.12270295022337442,0.0,0.0,0.0,0.0,0.01609830644096603,0.7917647877431268,0.0,0.580696466682839,-1.1578796490026553,0.0,0.0,0.0,0.0,0.0,3.2953732720105746,0.0,0.0,0.0,0.0,0.12806814805266314,0.12806814805266314,0.12806814805266314,0.0,0.0,0.0,0.0,0.12806814805266312,0.054886349165427055,0.0,0.12806814805266317,0.054886349165427076,0.0,0.0,0.0,0.0,0.0,0.24988656140583,3556.523930526228,0.3570227672583448,75.0234023144969,0.018686794396198983,0.007508823110944081
