,date,capital,strat scalar,FR40_EUR units,US30_USD units,UK100_GBP units,CH20_CHF units,CN50_USD units,US2000_USD units,HK33_HKD units,SPX500_USD units,NAS100_USD units,AU200_AUD units,EU50_EUR units,JP225_USD units,SG30_SGD units,DE30_EUR units,NL25_EUR units,USB30Y_USD units,USB05Y_USD units,DE10YB_EUR units,USB10Y_USD units,USB02Y_USD units,UK10YB_GBP units,JP225Y_JPY units,FR40_EUR w,US30_USD w,UK100_GBP w,CH20_CHF w,CN50_USD w,US2000_USD w,HK33_HKD w,SPX500_USD w,NAS100_USD w,AU200_AUD w,EU50_EUR w,JP225_USD w,SG30_SGD w,DE30_EUR w,NL25_EUR w,USB30Y_USD w,USB05Y_USD w,DE10YB_EUR w,USB10Y_USD w,USB02Y_USD w,UK10YB_GBP w,JP225Y_JPY w,nominal,leverage,daily pnl,nominal ret,capital ret
0,2021-01-18,10000.0,2.0,0.0,0.0,0.03320123361642159,0.0,0.02488732622586052,0.21324250470067113,0.11434166582922141,0.0,0.0,0.0,0.0,0.015900695385374346,1.18689364444759,0.0,0.5754604139855576,0.9036732266357795,0.0,0.0,2.0633827620011673,0.0,0.0,1.652752035885481,0.0,0.0,0.08092485549132948,0.0,0.12138728323699421,0.12138728323699423,0.11560693641618497,0.0,0.0,0.0,0.0,0.12138728323699421,0.08092485549132948,0.0,0.12138728323699421,0.04046242774566474,0.0,0.0,0.07514450867052024,0.0,0.0,0.12138728323699423,3766.7244373649924,0.3766724437364992,,,
1,2021-01-19,10014.049011707875,2.0,0.0,0.0,0.033050612625515396,0.03721730969185536,0.0248728753165942,0.21269792007853208,0.11284001736300131,0.0,0.0,0.0,0.0,0.015959108853211203,1.1815612091519891,0.0,0.5714687152394452,0.903822779705123,0.0,0.0,2.0651525116781118,0.0,0.0,1.6532217164815064,0.0,0.0,0.07216494845360824,0.10824742268041238,0.10824742268041238,0.10824742268041238,0.10309278350515463,0.0,0.0,0.0,0.0,0.10824742268041239,0.07216494845360824,0.0,0.10824742268041238,0.03608247422680412,0.0,0.0,0.06701030927835053,0.0,0.0,0.10824742268041236,4229.891125490136,0.4223956883519124,14.049011707876039,0.0037297689123508156,0.0014049011707876066
2,2021-01-20,10014.470488703815,2.0,0.0,0.0,0.035362798498859475,0.03714014406543316,0.024574757488117185,0.2138586711021505,0.11325682810431717,0.0,0.0,0.0,0.0,0.015975538648423396,1.259173512941272,0.0,0.5659622261508414,0.9080227570791414,0.0,0.0,2.0674235624921846,0.0,0.0,1.6540710287029534,0.0,0.0,0.07653061224489795,0.10714285714285712,0.10714285714285712,0.10714285714285712,0.10204081632653059,0.0,0.0,0.0,0.0,0.10714285714285712,0.07653061224489795,0.0,0.10714285714285712,0.03571428571428571,0.0,0.0,0.06632653061224489,0.0,0.0,0.10714285714285712,4273.6781159225175,0.42675028307718993,0.4214769959396232,9.964251642310315e-05,4.208856931365339e-05
3,2021-01-21,10004.667326171115,2.0,0.0,0.0,0.0,0.03705877198693891,0.02464660140787027,0.21176646705813168,0.11445976034618713,0.0,0.0,0.0,0.0,0.015986393407946047,1.2756069110383979,0.0,0.5676427203214544,0.9040896398833809,0.0,0.0,2.0630975170009647,0.0,0.0,1.660319670889133,0.0,0.0,0.0,0.1160220994475138,0.1160220994475138,0.11602209944751378,0.11049723756906074,0.0,0.0,0.0,0.0,0.11602209944751378,0.08287292817679556,0.0,0.11602209944751378,0.038674033149171255,0.0,0.0,0.0718232044198895,0.0,0.0,0.11602209944751378,3942.7475767863834,0.3940908226376091,-9.803162532700608,-0.002293846720972441,-0.000978899737510673
4,2021-01-24,10024.502831360674,2.0,0.0,0.0,0.0,0.03727417542600148,0.024281533491529533,0.21188087920492404,0.11319297786284636,0.0,0.0,0.0,0.0,0.015898797585319372,1.2891324064404945,0.0,0.5702724282911478,0.7712572672170231,0.0,0.0,2.061480721405974,0.0,0.0,1.6498874802208114,0.0,0.0,0.0,0.11666666666666665,0.11666666666666665,0.11666666666666665,0.11111111111111108,0.0,0.0,0.0,0.0,0.11666666666666664,0.08333333333333333,0.0,0.11666666666666665,0.03333333333333333,0.0,0.0,0.07222222222222222,0.0,0.0,0.11666666666666665,3928.7382437674837,0.39191352527497036,19.835505189560166,0.005030883870513342,0.0019826251631248817
5,2021-01-25,10002.916054540767,2.0,0.0,0.0,0.0,0.03700015722216177,0.024458455356460868,0.2140416881960848,0.11391752447581194,0.0,0.0,0.0,0.0,0.015926655905185477,1.2942154126197756,0.0,0.5721835992138756,0.7699955009456658,0.0,0.0,2.0578040081345605,0.0,0.0,1.6505871156243639,0.0,0.0,0.0,0.11666666666666668,0.11666666666666667,0.11666666666666667,0.1111111111111111,0.0,0.0,0.0,0.0,0.11666666666666667,0.08333333333333336,0.0,0.11666666666666664,0.03333333333333333,0.0,0.0,0.07222222222222222,0.0,0.0,0.11666666666666667,3920.2780939646686,0.39191352527497025,-21.586776819908216,-0.005494582606553976,-0.002153401239249104
6,2021-01-26,9949.368362224184,2.0,0.0,0.0,0.0,0.03708568509379557,0.024722831381133833,0.21673508324844795,0.11531294141113647,0.0,0.0,0.0,0.0,0.016128505605046813,1.2991970247975677,0.0,0.584657725321646,0.7638840623087078,0.0,0.0,0.0,0.0,0.0,1.67944834036991,0.0,0.0,0.0,0.125748502994012,0.125748502994012,0.125748502994012,0.11976047904191617,0.0,0.0,0.0,0.0,0.125748502994012,0.08982035928143713,0.0,0.125748502994012,0.03592814371257485,0.0,0.0,0.0,0.0,0.0,0.12574850299401197,3617.6764936636428,0.36360865956066685,-53.54769231658159,-0.013659156578462924,-0.005353208206948205
7,2021-01-27,9953.851532366454,2.0,0.0,0.0,0.0,0.03728255153616173,0.02488925283852022,0.21723462069335864,0.11603445365001056,0.0,0.0,0.0,0.0,0.016033227007485922,1.2928881482771128,0.0,0.57707422085373,0.7674396136515191,0.0,0.0,0.0,0.0,0.0,1.6711533970136345,0.0,0.0,0.0,0.125748502994012,0.125748502994012,0.125748502994012,0.11976047904191615,0.0,0.0,0.0,0.0,0.12574850299401197,0.08982035928143717,0.0,0.12574850299401197,0.03592814371257485,0.0,0.0,0.0,0.0,0.0,0.12574850299401197,3619.306613149656,0.36360865956066685,4.483170142269428,0.0012392402002007823,0.0004505984680686989
8,2021-01-28,9880.558789961107,2.0,0.0,0.0,0.0,0.03800413143324005,0.024979055981995065,0.21888924626675701,0.11837599428404681,0.0,0.0,0.0,0.0,0.016307016163324663,1.3108014195391209,0.0,0.5850965814737431,0.7640840791132182,0.0,0.0,0.0,0.0,0.0,3.458227556393561,0.0,0.0,0.0,0.11137496986156424,0.11137496986156424,0.11137496986156423,0.10607139986815642,0.0,0.0,0.0,0.0,0.11137496986156424,0.07955354990111732,0.0,0.11137496986156424,0.03182141996044693,0.0,0.0,0.0,0.0,0.0,0.22567878096245816,4056.308226632078,0.4105342939463492,-73.29274240534681,-0.02025049277092464,-0.007363254531878882
9,2021-01-31,9955.9532994877,2.0,0.0,0.0,0.0,0.0,0.024780673171443845,0.21451654829565056,0.12263319190584754,0.0,0.0,0.0,0.0,0.016089154331988133,1.3188577642569046,0.0,0.5803663327420018,0.7714809189810261,0.0,0.0,0.0,0.0,0.0,3.293499806909206,0.0,0.0,0.0,0.0,0.12576718091753278,0.12576718091753278,0.12576718091753278,0.0,0.0,0.0,0.0,0.12576718091753275,0.08983370065538054,0.0,0.12576718091753278,0.03593348026215222,0.0,0.0,0.0,0.0,0.0,0.24539691449480328,3619.533210262534,0.36355465934626097,75.39450952659314,0.0185869774470252,0.007630591662811207
